; 4,0 ; 4,1 ; 4,2 ; 4,3 ; 4,4 ; 4,5 ; 4,6 ; 4,7 ; 4,8 ; 4,9 ; 5,0 ; 5,1 ; 5,2 ; 5,3 ; 5,4 ; 5,5 ; 5,6 ; 5,7 ; 5,8 ; 5,9 ; 6,0 ; 6,1 ; 6,2 ; 6,3 ; 6,4 ; 6,5 ; 6,6 ; 6,7 ; 6,8 ; 6,9 ; 7,0 ; 7,1 ; 7,2 ; 7,3 ; 7,4 ; 7,5 ; 7,6 ; 7,7 ; 7,8 ; 7,9 ; 8,0 ; 8,1 ; 8,2 ; 8,3 
 33,5 ;2042;2071;2100;2129;2159;2189;2220;2251;2283;2315;2347;2380;2413;2447;2482;2516;2552;2587;2624;2660;2698;2736;2774;2813;2852;2892;2933;2974;3016;3058;3101;3144;3188;3233;3278;3324;3371;3418;3466;3514;3564;3614;3664;3716
 34,0 ;2129;2158;2187;2217;2247;2278;2309;2340;2372;2404;2437;2470;2503;2537;2572;2607;2642;2678;2714;2751;2789;2827;2865;2904;2943;2983;3024;3065;3107;3149;3192;3235;3279;3323;3369;3414;3461;3508;3555;3604;3653;3702;3752;3803
 34,5 ;2220;2249;2279;2308;2339;2370;2401;2432;2464;2497;2530;2563;2597;2631;2665;2700;2736;2772;2808;2845;2883;2921;2959;2998;3037;3077;3118;3159;3200;3242;3285;3328;3372;3416;3461;3507;3553;3600;3647;3695;3744;3793;3843;3893
 35,0 ;2314;2344;2373;2404;2434;2465;2497;2528;2560;2593;2626;2659;2693;2728;2762;2797;2833;2869;2905;2942;2980;3018;3056;3095;3134;3174;3215;3256;3297;3339;3381;3424;3468;3512;3557;3602;2648;3694;3741;3789;3837;3886;3935;3985
 35,5 ;2413;2442;2472;2503;2533;2565;2596;2628;2660;2693;2726;2760;2794;2828;2863;2898;2933;2970;3006;3043;3080;3118;3157;3195;3235;3274;3315;3355;3397;3438;3481;3523;3567;3610;3655;3700;3745;3791;3838;3885;3933;3981;4030;4080
 36,0 ;2515;2545;2575;2606;2637;2668;2700;2732;2764;2797;2830;2864;2898;2932;2967;3002;3038;3074;3110;3147;3184;3222;3260;3299;3338;3378;3418;3458;3499;3541;3583;3625;3668;3712;3756;3800;3845;3891;3937;3984;4031;4079;4127;4176
 36,5 ;2622;2652;2683;2713;2744;2776;2807;2840;2872;2905;2938;2972;3006;3040;3075;3110;3145;3181;3218;3254;3292;3329;3367;3406;3445;3484;3524;2564;3605;3646;3688;3730;3772;3816;3859;3903;3948;3993;4039;4085;4131;4179;4226;4275
 37,0 ;2734;2764;2794;2825;2856;2888;2919;2952;2984;3017;3050;3084;3117;3152;3186;3221;3257;3293;3329;3366;3403;3440;3478;3516;3555;3594;3633;3673;3714;3754;3796;3838;3880;3922;3966;4009;4053;4098;4143;4188;4234;4281;4328;4376
 37,5 ;2850;2880;2911;2942;2973;3004;3036;3068;3100;3133;3166;3200;3234;3268;3302;3337;3372;3408;3444;3480;3517;3554;3592;3630;3668;3707;3746;3786;3826;3866;3907;3948;3990;4032;4075;4118;4161;4205;4250;4295;4340;4386;4432;4479
 38,0 ;2972;3002;3032;3063;3094;3125;3157;3189;3221;3254;3287;3320;3354;3388;3422;3457;3492;3527;3563;3599;3636;3673;3710;3747;3785;3824;3863;3902;3941;3981;4022;4062;4104;4145;4187;4230;4272;4316;4360;4404;4448;3393;4539;4585
 38,5 ;3098;3128;3159;3189;3220;3251;3283;3315;3347;3380;3412;3445;3479;3513;3547;3581;3616;3651;3686;3722;3758;3795;3832;3869;3906;3944;3983;4021;4060;4100;4140;4180;4220;4261;4303;4344;4387;4429;4472;4515;4559;4604;4648;4693
 39,0 ;3230;3260;3290;3321;3352;3383;3414;3446;3478;3510;3542;3575;3608;3642;3676;3710;3744;3779;3814;3849;3885;3921;3957;3994;4031;4069;4106;4144;4183;4222;4261;4300;4340;4381;4421;4462;4504;4545;4588;4630;4673;4716;4760;4804
 39,5 ;3367;3397;3427;3458;3488;3519;3550;3582;3613;3645;3677;3710;3743;3776;3809;3843;3877;3911;3946;3981;4016;4052;4087;4124;4160;4197;4234;4271;4309;4347;4386;4425;4464;4503;4543;4583;4624;4665;4706;4748;4790;4832;4875;4918
 40,0 ;3511;3540;3570;3600;3630;3661;3692;3723;3754;3786;3818;3850;3882;3915;3948;3981;4015;4048;4082;4117;4151;4186;4222;4257;4293;4329;4366;4402;4439;4477;4514;4552;4591;4629;4668;4708;4747;4787;4827;4868;4909;4950;4992;5034
